Fabian ,cautious or dilatory; promoting gradual social change; avoiding direct conflict
fabular,adj. relating to fables; having the form of a fable
fabulist,n. a liar; a person who invents or relates fables; a liar
faceroll,something so easy one could do it by simply rolling one's face across the keyboard
facile ,"adj. lacking depth; arrived at without due effort; expressing self readily, cheerily, and effectively; performing adroitly and without effort; easy to perform or achieve; superficial and simplistic"
facinorous,[fuh-SINN-uh-rus] atrociously wicked
factitious,made by humans rather than natural forces
factotum ,servant or assistant employed to do variety of tasks
faculty,ability
faff,to muck about; to make a fuss over nothing; to waste time doing stupid things
fag end,a cigarette butt
fagin,"[FEY-guhn] one who trains others, especially children, in crime"
faience,[FEY-uhns] earthenware decorated with opaque colored glazes
fain ,adv. gladly; willingly
fait accompli,something that already happened and is unlikely to change; (lit. accomplished fact)
fallacy,misconception resulting from incorrect reasoning
fallow ,unplowed and unseeded; undeveloped but potentially useful
falter,to stumble; to walk unsteadily
famulus,a private secretary or attendant
fancy,v. to like; to have a fancy for; to visualize or interpret as; to imagine; n. a liking formed by caprice rather than reason
fandangle,rubbish; nonsense
fandango ,"tomfoolery; foolish or silly behavior, act, or thing"
fangle ,to fashion
fantast,"a dreamer, visionary, or flighty person"
fantoccini ,animated puppets
fantod,"n. a sudden outpouring of anger, outrage"
far point,the most distant point at which the eye can focus
farceur,a joker or wag; a writer or actor of a farce
fardel,[FAR-dl] bundle; burden
fare,v. to travel; to get along or succeed; to dine; n. food and drink
farouche ,[fuh-ROOSH] adj. unruly or disorderly; wild; marked by shyness and lack of social graces
farrago ,hodgepodge; a confused and messy heap of objects; (group. hodgepodge)
farrow ,n. litter of pigs; vt. give birth to (litter of pigs); vi. produce a litter of pigs; adj. not pregnant (used of a cow)
farthingale ,"n. a hoop skirt or framework for expanding a woman's skirt, worn in the 16th and 17th centuries"
fastidious,having high and often capricious standards; difficult to please
fastness ,"a remote, secret place; a secure or fortified place; a stronghold"
fata morgana,"a complex form of superior mirage made of multiple images, like buildings or cliffs, that are distorted and magnified to resemble elaborate castles, often seen near the Straits of Messina"
fathom,"n. unit for measuring water depth, equal to six feet, sometimes used in the singular when qualified by a number (e.g., five fathom deep); vi. to probe; vt. to penetrate and come to understand"
fatidic ,[fuh-TIH-dik] relating to prophesy; prophetic; vatic
fatiloquent ,[fuh-TILL-oh-qwent] prophesying; prophetic; fatidic
fatuous ,complacently or inanely foolish; weak; silly; stupid; foolish; illusory; delusive
faubourg ,"[FOE-boor] outlying part of a city or town, beyond the walls; suburb, especially of Paris"
faux pas,a social blunder
faux-naïf ,adj. marked by a false show of innocent simplicity; disingenuous; gee-whiz
faveolate,[fav-EE-uh-luht] honeycombed
fealty,the fidelity of a vassal or feudal tenant to his lord
fearnought ,"a heavy, woolen fabric or coat"
febrile,adj. including or caused by fever
feck ,power; force; strength; vigor; value; effect; efficacy
feckless ,adj. careless and irresponsible; lacking purpose or vitality; feeble or ineffective; unlikely to be successful
feculent ,[FEK-yuh-luhnt] full of filth or waste matter
fecund ,"[FEK-und; FEEK~] prolific, fertile; fertilising"
feign ,v. give false appearance of; fabricate; imitate so as to deceive
fell ,adj. fierce; cruel; lethal
fen ,"low land covered wholly or partially with water, but producing sedge, rushes, and coarse grass; a bog; a marsh; mud; mire"
fend ,vt. ward off; vi. make an effort to resist (as against the cold); try to manage without assistance
fenestration ,arrangement and design of windows and doors in a building; any opening in a surface such as a wall or membrane
ferly ,"n. [FUR-lee] something unusual, strange, or causing wonder or terror"
ferly,"adj. sudden, unexpected; strange; wonderful; terrible"
fervent,adj. very hot; glowing; zealous
fescennine ,obscene
fester ,"generate pus; putrefy, rot; cause increasing poisoning, irritation, or bitterness; rankle; undergo or exist in a state of progressive deterioration"
festoon ,"v. adorn with hanging chains or strands of any material; n. string or chain of flowers, foliage, ribbon, etc., suspended in a curve between two points; decorate as with leaves or garlands (suspended in loop between two points)"
féte ,[FEYT] a festival or feast; an elaborate party
fetial ,[FEE-shuhl] concerning declarations of war and treaties of peace
fetid ,offensively malodorous; smelly; stinky
